taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Leucojum aestivum,perennial,,"herb, erect leafy",,,,,,,,,,,linear,,,,,,1.0 cm,1.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pyriform,,black,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000683092
Leucojum vernum,perennial,,"herb, erect leafy",,,,,,,,,,,linear,,,,0.5 cm,2.5 cm,6 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pyriform,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000683849
Levisticum officinale,perennial,,herb,,,,,glabrous,,,,,,,,,,,,70 cm,70 cm,,,,,bisexual,,,,,,,,yellowish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ellipsoid,dark-brown,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000360816
Leycesteria formosa,perennial,,shrub,,,,,,,,,,,,,,,,,,,"purple, brownish",,,,,,,,,,,,,,,,,,"pinkish, purple",1.0 cm,2.0 cm,,,,,,,,,5.0,,,,,,,,,,,,,,,,purple,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358123
Leymus arenarius,,,,,,0.60 m,2.00 m,"hairy, glabrous, pubescent",,,,flat,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000878157
Ligusticum scoticum,perennial,,erect leafy,,,0.15 m,0.90 m,glabrous,,,lobed,"lobed, sheathing",,ovate,,cuneate,serrate,3 cm,5 cm,5 cm,10 cm,,,,,,,,,,,,,"pink, white, greenish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000362202
Ligustrum ovalifolium,perennial,,"tree/shrub, shrub",,,,,"glabrous, pubescent",,,,,,"ovate, elliptic","acute, obtuse",,entire,,,3 cm,6 cm,,,,,,,,,,white,,"fused, fusion",,,,,0.15 cm,0.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,"brown, blackish",,,,3.2 mm,3.5 mm,5.4 mm,5.8 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000816332
Ligustrum vulgare,perennial,,"tree/shrub, shrub",,,,,glabrous,,,,,,"oblanceolate, lanceolate, spatulate",acute,,,,,3 cm,6 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000815984
Lilium martagon,perennial,,,,,,,,,flexhy,,,,"lanceolate, obovate",,,,,,7 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,obovoid,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000678524
Lilium pyrenaicum,perennial,,,,,,,,,flexhy,,,"alternate, spirally",lanceolate,,,,,,7 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,obovoid,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000677090
Limnanthes douglasii,,,,,,,,,,,"pinnate, lobed","pinnate, lobed",,,,,,,,,,,,,,,,,actinomorphic,,,,,"yellow, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,schizocarp,dry,,,,,1.0,1.0,1.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001073392
