taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Aconitum violaceum,annual,,,,,,,glabrous,,,palmatipartite,"palmatipartite, pinnatisect, pinnatipartite",,"orbicular, linear","acute, obtuse",orbicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000518301
Acorus calamus,perennial,,"erect leafy, herb, scrambler",,,0.80 m,0.80 m,,,,,,,"ensiform, linear",,,,8 cm,1.5 cm,55 cm,100 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000350733
Acrachne racemosa,annual,,"erect leafy/tussock, tussock",,,,,"hairy, glabrous, pubescent",,,,,,"orbicular, rounded",,rounded,,0.5 cm,1.15 cm,7 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000841378
Actaea cimicifuga,perennial,,,,,0.40 m,2.00 m,,,,pinnate,pinnate,,ovate,acuminate,,"serrate, dentate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000519069
Actaea frigida,perennial,,,,,0.40 m,2.00 m,,,,pinnate,pinnate,,ovate,acuminate,,"serrate, dentate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000519082
Actaea spicata,perennial,,"erect leafy, herb, scrambler",,,0.30 m,0.75 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000519125
Actinoscirpus grossus,perennial,,,"stoloniferous, solitary plant",,,,scabrous,,,,flat,,,,,"revolute, flat, scabrous",0.5 cm,2.7 cm,60 cm,100 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.15 cm,0.15 cm,,,,,,,,,,,,,,,,,1.1 mm,1.2 mm,1.5 mm,1.6 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000337413
Adenanthera pavonina,perennial,,"tree/shrub, tree",,,,,,,,bipinnate,sessile,"opposite, alternate","obovate, bipinnate",recurved,,,,,24 cm,24 cm,,,,,,,,,,,,,,,,,0.1 cm,0.1 cm,yellow,0.25 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,dehiscent,,,red,,,,7 mm,8 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000173869
Adonis aestivalis,annual,,,,,0.10 m,0.50 m,,,,,sessile,,"ovate, linear",,,,0.1 cm,0.15 cm,,,,,,,,,,,,,,,"black, yellow, white, red",,,,,,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,4 mm,7 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521108
Adonis chrysocyathus,perennial,,erect leafy,,,,,hairy,,,,sessile,,"lanceolate, ovate",acuminate,,,,,,,,,,,,,,,,yellow,,,,0.58 cm,0.58 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 mm,7 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521173
Adonis pyrenaica,perennial,,erect leafy,,,,,hairy,,,,sessile,,"lanceolate, ovate",acuminate,,,,,,,,,,,,,,,,yellow,,,,0.58 cm,0.58 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 mm,7 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521268
Adoxa moschatellina,,,"herb, scrambler",,,,,glabrous,,flexhy,,,,,,,,,,,,,,clustered,,,,,,,,,,,,,,0.1 cm,0.1 cm,greenish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,,,3 mm,3.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521309
Aegilops cylindrica,,,"erect leafy/tussock, tussock",,,0.20 m,0.65 m,"hairy, glabrous, pubescent",,,,,,,,,,0.2 cm,0.5 cm,12 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000841654
Aegilops tauschii,,,"erect leafy/tussock, tussock",,,0.18 m,0.60 m,"hairy, glabrous, pubescent",,,,,,,,,,0.2 cm,0.6 cm,17 cm,17 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000841857
Aegilops triuncialis,,,"erect leafy/tussock, tussock",,,0.15 m,0.45 m,"hairy, glabrous, pubescent",,,,,,,,,,0.1 cm,0.2 cm,10 cm,10 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000841887
Aegle marmelos,,,tree,,,6 m,6 m,pubescent,spinescent,,,,,,,,,,,,,,,,,,,,,,"greenish, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"globose, pyriform","greenish, yellow",,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521533
Aegopodium burttii,annual,,,,,0.50 m,0.50 m,,,,,"sheathing, sessile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521565
Aeluropus lagopoides,perennial,,"erect leafy/tussock, scrambler",rhizomatous,,,,"glabrous, scabrous, pubescent",,,,,,,,,,0.2 cm,0.3 cm,4 cm,4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000842029
Aeluropus littoralis,perennial,,"erect leafy/tussock, scrambler",rhizomatous,,,,"hairy, glabrous, scabrous",,,,,,"orbicular, rounded",,rounded,,0.2 cm,0.2 cm,5 cm,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000842034
Aeluropus macrostachyus,perennial,,"erect leafy/tussock, tussock",stoloniferous,,,,"papillose, glabrous, scabrous, pubescent",,,,flat,,linear,acuminate,,flat,0.3 cm,0.5 cm,2 cm,6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000842054
Aerva javanica,perennial,,"herb, suffrutex",,,0.3 m,1.5 m,tomentose,,,,"involute, sessile",alternate,"falcate, orbicular, linear",recurved,,"involute, recurved",,,2 cm,2 cm,,,,,,,,,,yellowish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"black, brown",,,,,,0.9 mm,1.25 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521761
Aerva lanata,perennial,,"prostrate, herb",,,0.1 m,2 m,woolly,,,,,alternate,"orbicular, lanceolate, elliptic, rounded","acute, apiculate","cuneate, rounded",,0.5 cm,3.5 cm,1.0 cm,5.0 cm,,,,,"unisexual, bisexual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001046262
Aerva sanguinolenta,perennial,,"prostrate, herb, suffrutex, climber/scrambler",,,0.4 m,2 m,hairy,,,,,"alternate, opposite","ovate, elliptic","acute, acuminate, attenuate","attenuate, cuneate",,,,,,yellowish,,,,bisexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,0.8 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521801
Aerva timorensis,perennial,,"prostrate, herb, suffrutex, climber/scrambler",,,0.4 m,2 m,hairy,,,,,"alternate, opposite","ovate, elliptic","acute, acuminate, attenuate","attenuate, cuneate",,,,,,yellowish,,,,bisexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,0.8 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000521812
Aeschynomene aspera,perennial,,shrub,,,3 m,3 m,glabrous,,,,sessile,"alternate, opposite","oblong, linear","apiculate, obtuse",,,,,,,,,,,,,,,,,,,,,,,0.9 cm,1.0 cm,,1.8 cm,1.9 cm,,,,,,,,,,,,,,,,,,,,,,,suture,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000182285
Aeschynomene indica,annual,,,,,0.30 m,0.90 m,"glabrous, glandular",,,,,,,,,,,,3.5 cm,9.0 cm,,,,,,,,,,,,,,,,,0.6 cm,0.7 cm,"purple, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000173414
Aesculus indica,,,tree,,,20 m,20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,"yellow, white",,,,0.5 cm,0.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,brown,,,,27.00 mm,35.00 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000522293
Aethionema carneum,annual,,,,,0.15 m,0.15 m,glabrous,,,,"amplexicaul, sessile",,"ovate, rounded, oblong, obovate, orbicular",acute,rounded,entire,0.2 cm,0.9 cm,0.5 cm,1.8 cm,,,,,,,,,,"pinkish, white",,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,6.0,6.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000522436
Agathophora alopecuroides,,,shrub,,,0.30 m,0.40 m,"hairs absent, woolly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 cm,0.01 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000523291
Agave cantala,,,,,,,,pubescent,,,,,,,,,,10 cm,12 cm,100 cm,100 cm,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-1000038307
Agave sisalana,,,,,,,,glabrous,spinescent,,,flat,,,,,flat,8 cm,8 cm,100.0 cm,200.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,3 cm,4 cm,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001257076
Agriophyllum latifolium,annual,,,,,0.50 m,0.50 m,,,,,,,"cordate, orbicular, rounded",,"cordate, rounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000524477
Agropyron desertorum,perennial,,"erect leafy/tussock, tussock",,,,,"glabrous, pubescent",,,,convolute,,,,,,0.2 cm,0.3 cm,4 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000842410
Agropyron striatum,perennial,,"erect leafy/tussock, tussock",,,,,pubescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001095512
Agrostis canina,perennial,,"scrambler, tussock, erect leafy/tussock",,,,,"glabrous, pubescent",,,,"flat, convolute",,,,,flat,0.1 cm,0.3 cm,2 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000843382
Agrostis filipes,perennial,,"erect leafy/tussock, tussock",,,,,"glabrous, pubescent",,,,,,,,,,0.1 cm,0.25 cm,2.5 cm,7.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000843655
Agrostis gigantea,perennial,,erect leafy/tussock,rhizomatous,,,,scabrous,,,,flat,,,,,flat,0.2 cm,0.8 cm,5 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000843693
Agrostis munroana,annual,,"erect leafy/tussock, tussock",,,,,"glabrous, pubescent",,,,flat,,,,,flat,0.15 cm,0.5 cm,3 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000844039
Agrostis pilosula,annual,,"erect leafy/tussock, tussock",,,,,"scabrous, pubescent",,,,flat,,,,,flat,0.2 cm,0.6 cm,3 cm,35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000844187
Agrostis stolonifera,perennial,,"tussock, erect leafy/tussock",stoloniferous,,,,"glabrous, pubescent",,,,flat,,,,,flat,0.05 cm,0.5 cm,1 cm,10 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000844489
Agrostis vinealis,perennial,,"scrambler, tussock, erect leafy/tussock",,,,,"glabrous, pubescent",,,,"flat, convolute",,,,,flat,0.1 cm,0.3 cm,2 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000844747
Aitchisonia rosea,,,,,,,,,,,,,,,acute,,entire,0.5 cm,0.7 cm,1.2 cm,2 cm,,,,,,,,,,rose-pink,,,,,,,0.15 cm,0.15 cm,,1.0 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000932696
Aizoon canariense,perennial,,,,,,,,,,,,,,,,,0.5 cm,0.9 cm,8 cm,8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,black,,,,,,0.9 mm,0.9 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000524797
Ajania fruticulosa,,,"erect leafy, suffrutex, shrub",,,0.45 m,0.45 m,hairy,,,,appressed,,lanceolate,,,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000092579
Ajania tibetica,perennial,terrestrial,"erect leafy, herb",,,0.10 m,0.12 m,pubescent,,,,"palmatisect, palmatipartite",,"spatulate, oblanceolate, elliptic, linear",,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000080514
Ajuga parviflora,"annual, perennial",,,,,,,hairy,,,,,,"obovate, elliptic",,,"crenate, entire",2.5 cm,2.5 cm,4.5 cm,4.5 cm,,,,,,,,,,,,,,,,,0.25 cm,0.4 cm,"pink, bluish, white",0.5 cm,0.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000934858
Akebia quinata,,,climber,,,,,glabrous,,,digitate,,,,,,,,,,,,,,,unisexual,,,,,"purple, purplish, brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple-violet,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000524888
Alangium chinense,,,"tree/shrub, tree",,,10 m,25 m,"hairy, glabrous, glabrescent, pubescent",unarmed,,lobed,"palmate, lobed",,"deltate, cordate, ovate, deltoid","acuminate, truncate","cordate, truncate",entire,4.5 cm,15 cm,6 cm,15 cm,,,,,,,,,,,,,,0.1 cm,0.15 cm,,0.25 cm,0.25 cm,,,,,,,,,,,,,,,,,,,,terminal,,,,,fleshy,,ovoid,purple,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000936752
Albizia chinensis,perennial,,"tree/shrub, tree",,,,,"hairy, glabrous, pubescent",,,,sessile,,"cordate, falcate, linear",acute,cordate,,,,,,,,,,,,,,,yellowish,,,,,,,0.25 cm,0.25 cm,,,,,,,,,,,,,,,2.5 cm,3.3 cm,,,,,,,,,,,,,,8.0,12.0,12.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000182103
Albizia julibrissin,,,"tree/shrub, tree",,,,,hairy,,,bipinnate,,alternate,bipinnate,,,,,,,,,,,,,,,,,,,,,,,,0.3 cm,0.4 cm,,0.7 cm,0.8 cm,,,,,,,,,,,,2.5 cm,3.2 cm,,,,,,,,,,,,,,8.0,12.0,12.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000173835
Albizia lebbeck,perennial,,"tree/shrub, tree",,,,,"tomentose, hairy, glabrous",,,bipinnate,,,bipinnate,,,,,,,,,,,,,,,,,whitish,,,,,,,0.3 cm,0.4 cm,,,,,,,,,,,,,,,2.5 cm,3.8 cm,,,,,,,,,,,,,brown,6.0,12.0,12.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000184271
Albizia odoratissima,perennial,,"tree/shrub, tree",,,,,,,,,,alternate,,,,,,,10 cm,20 cm,,,,,,,,,,yellow,,,,,,,0.1 cm,0.2 cm,grey,0.8 cm,0.8 cm,,,,,,,,,,,,1.5 cm,1.5 cm,,,,,,,,,,,,,,8.0,12.0,12.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000185541
Albizia procera,perennial,,tree,,,,,hairy,,,bipinnate,,alternate,"bipinnate, ovate","apiculate, emarginate, obtuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000186098
Alcea rosea,annual,,herb,,,1 m,2.5 m,"pubescent, stellate, scabrous",,,lobed,lobed,,"ovate, cordate, orbicular, rounded",,"cordate, rounded","entire, crenate, scabrous, dentate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,globose,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000525183
Aletris pauciflora,,,erect leafy,,,0.15 m,0.15 m,,,,,,,lanceolate,,,,,,,,,,,,,,,,campanulate,"white, greenish",,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,capsule,,,ovoid,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000755348
Alhagi maurorum,,,,,,0.60 m,1.00 m,"glabrous, pubescent",,,simple,,,"oblong, elliptic, obovate",apiculate,,entire,0.3 cm,0.8 cm,1.0 cm,2.5 cm,,,,,,,,,,,,,,,,,0.2 cm,0.25 cm,"pink, violet, reddish",0.6 cm,0.9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000212422
Alhagi pseudalhagi,,,,,,0.60 m,1.00 m,"glabrous, pubescent",,,simple,,,"oblong, elliptic, obovate",apiculate,,entire,0.3 cm,0.8 cm,1.0 cm,2.5 cm,,,,,,,,,,,,,,,,,0.2 cm,0.25 cm,"pink, violet, reddish",0.6 cm,0.9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-1200001702
Alisma gramineum,,,herb,,,,,glabrous,,,,,,"linear, elliptic, lanceolate","obtuse, attenuate",attenuate,,,,,,,,,,,,,,,"purplish, white",,,,0.2 cm,0.35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 mm,2.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001300838
Alisma lanceolatum,,,herb,,,,,"glabrous, pubescent",,,,,,lanceolate,acute,,,1 cm,1.4 cm,6 cm,7.5 cm,,,,,,,,,,purplish-pink,,,,0.2 cm,0.25 cm,,,,,,,,,,,,,,,,,,0.2 cm,0.2 cm,,,,,,,,,,,,,"brown, reddish",,,,,,2 mm,2.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000755439
Alisma plantago-aquatica,hydrophyte,,herb,,,,,glabrous,,,,,,"ovate, cylindrical, orbicular, cordate, lanceolate, rounded","acute, acuminate","cordate, rounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000755470
Allamanda cathartica,,,"shrub, climber/scrambler",,,,,"glabrous, pubescent",,,,,opposite,"oblong, obovate, spatulate, oblanceolate",acuminate,cuneate,entire,3 cm,4 cm,6 cm,10 cm,,,,,,,,,,yellow,,,,,,,,,,2.5 cm,2.5 cm,,,,,,,,,,,,0.35 cm,0.35 cm,,,,,,,,,,,globose,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000943159
Allardia glabra,perennial,terrestrial,,,,0.05 m,0.05 m,"hairy, glabrous",,,,palmate,,oblong,obtuse,,,,,,,,,,,,,,,,"pink, white, whitish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000035001
Allardia nivea,,terrestrial,herb,,,0.08 m,0.10 m,"hairy, woolly",,,lobed,"lobed, sessile",,,obtuse,cuneate,,0.15 cm,0.25 cm,0.3 cm,0.8 cm,,,,,,,,,,"reddish-pink, pink, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000095110
Allardia tomentosa,perennial,terrestrial,,,,0.10 m,0.15 m,"woolly, tomentose",,,bipinnatipartite,pinnatipartite,,"linear, oblong",,,,,,,,,,,,,,,,,"yellow, pink, pinkish, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000125766
Allardia tridactylites,perennial,terrestrial,"prostrate, herb",,,0.06 m,0.06 m,glabrous,,,,palmate,,"oblong, obovate",obtuse,cuneate,,,,,,,,,,,,,,,"purplish-pink, pink, yellow, whitish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000130913
Allardia vestita,perennial,,"tussock, scrambler, herb",,,0.06 m,0.06 m,"woolly, pubescent",,,,"palmate, sessile",,"spatulate, oblanceolate",obtuse,cuneate,entire,0.4 cm,0.6 cm,1.0 cm,1.8 cm,,,,,,,,,,"yellow, pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000042740
Alliaria petiolata,annual,,herb,,,0.20 m,0.40 m,"hairy, glabrous",,,,,rosulate,"ovate, reniform, cordate",acute,cordate,dentate,,,,,,,,,,,,,,white,,,,0.2 cm,0.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"black, dark-brown",,,,1 mm,1 mm,3 mm,3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000526081
Allium atrosanguineum,perennial,,,,,0.04 m,0.06 m,glabrous,,,,,,cylindrical,obtuse,,,0.1 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000755722
Allium baluchistanicum,perennial,,erect leafy,,,0.09 m,0.09 m,,,,,,,fukufirn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000755762
